Gene,Influence_Score,Num_Connections
MMP2,1.0000000800937414,36.0
H2AFY2,1.0000000796280801,55.0
NEFM,1.0000000791624188,50.0
STOM,1.0000000786967576,65.0
SUN2,1.0000000782310963,21.0
FNBP1,1.0000000763684511,23.0
EIF3M,1.0000000763684511,32.0
TCOF1 1,1.0000000763684511,18.0
COPB1,1.0000000761356205,67.0
LEPRE1,1.0000000759027898,96.0
PHLDB1,1.0000000754371285,17.0
CNN3,1.000000074855052,114.0
SCRIB 2,1.000000074505806,40.0
PSMD2,1.0000000740401447,82.0
COQ9,1.0000000740401447,71.0
PPIF,1.0000000735744834,41.0
CFHR1,1.0000000726431608,27.0
XP_933678,1.0000000717118382,95.0
XP_001717112,1.0000000717118382,102.0
RBBP4,1.000000071246177,137.0
RAB2A,1.0000000707805157,19.0
HNRNPH3,1.0000000707805157,86.0
SDHA,1.0000000707805157,25.0
IL4I1,1.0000000707805157,15.0
EFEMP1,1.0000000700820237,44.0
PDLIM7 2,1.000000069849193,181.0
CARD16,1.0000000689178705,126.0
KRT79,1.0000000689178705,35.0
ATP5C1,1.0000000684522092,100.0
LARP7,1.000000067986548,55.0
PALLD 2,1.0000000678701326,162.0
UBE2V2,1.0000000670552254,30.0
DNAJA2,1.0000000670552254,17.0
RBMS1 2,1.0000000670552254,6.0
ANPEP,1.0000000670552254,9.0
HDHD1,1.0000000670552254,11.0
VCAN,1.000000066589564,88.0
CAD,1.0000000661239028,48.0
GRN,1.0000000661239028,26.0
STAT3 2,1.0000000651925802,19.0
PES1,1.0000000651925802,28.0
HLA-C,1.0000000651925802,26.0
KNG1 1,1.0000000642612576,108.0
COL1A2,1.0000000637955964,66.0
MYBBP1A,1.0000000637955964,61.0
PIGT,1.000000063329935,23.0
OSGEP,1.000000063329935,16.0
HNRNPD 1,1.000000063329935,36.0
CCT2,1.000000063329935,19.0
UBAP2L 1,1.000000063329935,19.0
PACSIN2 1,1.000000063329935,14.0
LLGL2,1.000000063329935,12.0
PRDX5,1.0000000628642738,102.0
ARL8A,1.0000000623986125,36.0
RPN1,1.0000000619329512,43.0
FCER1G,1.000000061816536,139.0
HIBCH,1.00000006146729,50.0
SLC34A2 1,1.00000006146729,41.0
PYGB,1.00000006146729,35.0
DDT,1.00000006146729,31.0
PSMB10,1.00000006146729,115.0
DLST,1.0000000605359674,35.0
ITGA5,1.0000000605359674,69.0
MYL6 2,1.0000000605359674,117.0
SORD,1.0000000605359674,61.0
AUP1,1.0000000596046448,2.0
ACAA2,1.0000000596046448,7.0
UNC45A,1.0000000596046448,31.0
AGFG1,1.0000000596046448,6.0
RB1,1.0000000596046448,4.0
RDH14,1.0000000596046448,7.0
NF2,1.0000000596046448,26.0
HMGN3,1.0000000596046448,33.0
SOD2,1.0000000596046448,55.0
CD163 2,1.0000000591389835,52.0
ELMO1,1.0000000590225682,103.0
DPYD,1.0000000590225682,131.0
FERMT2,1.0000000584404916,133.0
ACTA2,1.0000000583240762,153.0
LAP3,1.000000058207661,57.0
HNRNPK,1.000000058207661,110.0
STAG2 2,1.000000058207661,44.0
PSMB7,1.0000000577419996,33.0
PRKDC,1.0000000577419996,81.0
WDR1,1.0000000577419996,27.0
PDHX,1.0000000577419996,57.0
SNAP23,1.0000000577419996,25.0
PAIP1 1,1.0000000577419996,19.0
GRB2,1.0000000577419996,15.0
F2,1.000000057509169,72.0
LMNB1,1.000000056810677,31.0
RNF213,1.000000056810677,64.0
TMEM263,1.000000056810677,20.0
RPRD1B,1.0000000558793545,71.0
LRRFIP1 1,1.0000000558793545,43.0
TMPO 1,1.0000000558793545,42.0
SLC9A3R2,1.0000000558793545,21.0
NAA15,1.0000000558793545,23.0
NP_009204,1.0000000558793545,52.0
FARSA,1.0000000558793545,33.0
RENBP,1.0000000558793545,28.0
PRSS3,1.0000000558793545,10.0
PPP4R1,1.0000000558793545,13.0
VASN,1.0000000558793545,11.0
CALD1 2,1.0000000551808625,198.0
SMARCB1,1.000000054948032,99.0
XP_003120323,1.000000054948032,33.0
LXN,1.000000054948032,31.0
DNMT1,1.000000054948032,53.0
MYH9,1.000000054598786,140.0
MATR3,1.0000000544823706,83.0
THBS1,1.0000000540167093,22.0
BCL2L13,1.0000000540167093,38.0
ADPRHL2,1.0000000540167093,28.0
ECI1,1.0000000540167093,97.0
CMPK1,1.0000000540167093,30.0
SUB1,1.0000000540167093,13.0
NCBP1,1.0000000540167093,66.0
HOOK3,1.0000000540167093,18.0
APOC3,1.000000053551048,34.0
RRBP1,1.000000053551048,45.0
HLA-DRB5,1.0000000530853868,32.0
MRPL12,1.0000000530853868,60.0
11-Sep,1.0000000529689714,87.0
PTPRC,1.0000000522704795,208.0
VDAC3 2,1.0000000521540642,16.0
LMNA 3,1.0000000521540642,99.0
NCF2,1.0000000521540642,36.0
NLN,1.0000000521540642,13.0
FOXRED1,1.0000000521540642,7.0
ALDH3A2,1.0000000521540642,14.0
CSNK2A1,1.0000000521540642,14.0
CARKD 1,1.0000000521540642,38.0
GPX3,1.0000000521540642,27.0
RAB12,1.0000000521540642,4.0
VWA1,1.0000000521540642,14.0
XRCC5,1.0000000521540642,11.0
NFU1,1.0000000521540642,23.0
COPS4,1.0000000521540642,9.0
SMAP2,1.0000000521540642,9.0
LIG1,1.0000000521540642,12.0
RRP9,1.0000000521540642,26.0
ACTL6A,1.000000051688403,89.0
LBR,1.0000000512227416,33.0
F13A1,1.0000000512227416,23.0
EPCAM,1.0000000512227416,31.0
PCDH1,1.0000000512227416,24.0
MRTO4,1.0000000512227416,34.0
ETFB,1.000000050989911,125.0
ACTA1,1.0000000504078344,147.0
RBM10 1,1.000000050291419,27.0
NAGLU,1.000000050291419,14.0
EIF4A1,1.000000050291419,36.0
ABHD14B,1.000000050291419,58.0
GLYR1,1.000000050291419,34.0
SLC34A2 2,1.0000000493600965,39.0
PCNA,1.0000000493600965,97.0
ACTR3B,1.0000000493600965,30.0
MRPS22,1.0000000493600965,43.0
FAM129B,1.0000000493600965,59.0
TACSTD2,1.0000000493600965,40.0
SRSF2,1.0000000488944352,102.0
BCAM,1.0000000484287739,24.0
F11R,1.0000000484287739,21.0
SDR39U1,1.0000000484287739,36.0
DIABLO,1.0000000484287739,36.0
BCAT2,1.0000000484287739,14.0
PRRC2A,1.0000000484287739,13.0
P4HA1 1,1.0000000484287739,45.0
SHMT1,1.0000000484287739,18.0
RTN4 4,1.0000000484287739,36.0
MTHFD1,1.0000000484287739,37.0
C14orf142,1.0000000484287739,9.0
TCEB3,1.0000000484287739,23.0
PSMA7,1.0000000484287739,17.0
NELFA,1.0000000484287739,20.0
PNPO,1.0000000484287739,11.0
NP_976084,1.0000000484287739,16.0
PCBP2 3,1.0000000484287739,21.0
CD74 2,1.000000047730282,80.0
POLR2A,1.0000000474974513,92.0
RPLP0,1.0000000474974513,61.0
HLA-DPA1,1.0000000474974513,49.0
KPNB1,1.0000000474974513,15.0
RCC2,1.0000000474974513,57.0
RBMXL1,1.0000000474974513,96.0
GBP3,1.0000000474974513,62.0
CTSL,1.0000000474974513,51.0
DNAJA3,1.0000000474974513,42.0
MSN,1.0000000474974513,80.0
HNRNPA2B1,1.0000000474974513,62.0
ALOX5,1.00000004703179,114.0
FEN1,1.00000004703179,82.0
MDH2,1.00000004703179,138.0
HSPE1,1.00000004703179,101.0
EEF2,1.0000000465661287,35.0
ETFDH,1.0000000465661287,22.0
EHMT2,1.0000000465661287,20.0
KIAA0196,1.0000000465661287,23.0
TEX10,1.0000000465661287,34.0
DHPS,1.0000000465661287,31.0
ATP1A2,1.0000000465661287,46.0
PYCR1,1.0000000465661287,14.0
CSRP2,1.0000000465661287,24.0
HSD17B8,1.0000000465661287,25.0
LIMS2,1.0000000465661287,42.0
MAPRE1,1.0000000465661287,22.0
LSM7,1.0000000465661287,40.0
IBA57,1.0000000465661287,15.0
RPS6KA1,1.0000000465661287,22.0
DDX39B,1.000000046333298,131.0
CPT2,1.0000000461004674,116.0
VWA5A,1.0000000456348062,30.0
PCCB,1.0000000456348062,41.0
SRSF7,1.0000000454019755,141.0
HNRNPR 2,1.0000000449363142,174.0
ORC3,1.0000000447034836,4.0
OXCT1,1.0000000447034836,9.0
THOP1,1.0000000447034836,7.0
TST,1.0000000447034836,33.0
APRT,1.0000000447034836,61.0
BLVRA,1.0000000447034836,10.0
STK24,1.0000000447034836,11.0
PTPRF,1.0000000447034836,29.0
MTHFD2,1.0000000447034836,7.0
AP1G1,1.0000000447034836,20.0
TM9SF4,1.0000000447034836,27.0
ERO1L,1.0000000447034836,39.0
FCHO2,1.0000000447034836,9.0
POLR3C,1.0000000447034836,6.0
NUCB2,1.0000000447034836,17.0
SFXN1,1.0000000447034836,7.0
EIF2S2,1.0000000447034836,34.0
BOLA2B,1.0000000447034836,8.0
PGAM1,1.0000000447034836,25.0
VPS4B,1.0000000447034836,14.0
GTF2E2,1.0000000447034836,6.0
TBCD,1.0000000447034836,11.0
TXNL1,1.0000000447034836,8.0
SLC39A14,1.0000000447034836,5.0
HIST1H1A,1.0000000447034836,39.0
AP3M1,1.0000000447034836,6.0
FKBP8,1.0000000447034836,9.0
VPS4A,1.0000000447034836,15.0
GSTM5,1.0000000447034836,6.0
ADD3 1,1.0000000447034836,24.0
CPSF7,1.0000000447034836,20.0
EIF3L,1.0000000447034836,28.0
TNC,1.0000000447034836,39.0
RDH13,1.0000000447034836,18.0
DBR1,1.0000000447034836,5.0
MBOAT7,1.0000000447034836,11.0
CPT1A,1.0000000447034836,13.0
CPOX,1.0000000447034836,3.0
BMP2K,1.0000000447034836,7.0
ACADM,1.0000000447034836,20.0
ZMYM3,1.0000000442378223,108.0
EIF4G1 2,1.000000043772161,50.0
ITGAX,1.000000043772161,94.0
ITGA3,1.000000043772161,27.0
XP_003120167,1.000000043772161,24.0
TPM3 2,1.0000000433064997,67.0
GPD2,1.0000000428408384,22.0
S100A10,1.0000000428408384,79.0
PLIN3,1.0000000428408384,20.0
MPO,1.0000000428408384,23.0
DDX18,1.0000000428408384,26.0
GFPT1,1.0000000428408384,34.0
NHP2L1,1.0000000428408384,93.0
ORM2,1.0000000428408384,28.0
SYPL1,1.0000000428408384,31.0
DIAPH1,1.0000000428408384,17.0
NP_851385,1.0000000428408384,75.0
PHKB,1.0000000428408384,25.0
NDUFS7,1.0000000428408384,24.0
MOGS,1.0000000428408384,21.0
GOLPH3,1.0000000428408384,18.0
AHNAK 1,1.0000000419095159,66.0
PPA2,1.0000000419095159,81.0
GTF2I,1.0000000419095159,57.0
SERPINA4,1.0000000419095159,42.0
ATP6V1B2,1.0000000416766852,52.0
LMAN2,1.0000000414438546,34.0
RAC1 2,1.0000000414438546,38.0
ACTR2,1.000000041211024,57.0
YARS,1.0000000409781933,27.0
FAM3C,1.0000000409781933,22.0
TRIM28,1.0000000409781933,23.0
KIF1A,1.0000000409781933,35.0
CAND1,1.0000000409781933,41.0
ZZEF1,1.0000000409781933,10.0
TNS3,1.0000000409781933,16.0
DDX1,1.0000000409781933,29.0
SRPRB,1.0000000409781933,33.0
RPA1,1.0000000409781933,25.0
EBNA1BP2,1.0000000409781933,29.0
PMPCA,1.0000000409781933,25.0
RBM42,1.0000000409781933,12.0
DNAJA1,1.0000000409781933,21.0
NARS2,1.0000000409781933,26.0
SDHB,1.0000000409781933,24.0
FECH,1.0000000409781933,10.0
LARP4B,1.0000000409781933,16.0
STIP1,1.0000000409781933,36.0
PKP4,1.0000000409781933,61.0
CCT5,1.0000000409781933,18.0
RPE,1.0000000409781933,31.0
LAMA3 1,1.0000000409781933,16.0
GALNT1,1.0000000409781933,12.0
HOOK1,1.0000000409781933,30.0
FERMT3,1.000000040861778,148.0
KNG1 2,1.0000000407453626,105.0
CUTA,1.000000040512532,46.0
LYZ,1.0000000400468707,20.0
NOC2L,1.0000000400468707,57.0
HLA-DRB1,1.0000000400468707,39.0
EPB41,1.0000000400468707,41.0
HSPA4,1.0000000400468707,31.0
SPTB,1.0000000400468707,44.0
COL18A1,1.0000000400468707,28.0
LCP1,1.00000003981404,102.0
SEC61A2,1.00000003981404,57.0
ITIH2,1.0000000395812094,55.0
P4HA2,1.0000000395812094,62.0
PNP,1.0000000391155481,16.0
SAE1,1.0000000391155481,39.0
TMLHE,1.0000000391155481,16.0
ADH5,1.0000000391155481,20.0
SIAE,1.0000000391155481,43.0
NP_003917,1.0000000391155481,28.0
XP_003119131,1.0000000391155481,36.0
RPS2,1.0000000391155481,48.0
CFHR5,1.0000000391155481,13.0
MECOM 1,1.0000000391155481,22.0
RAD50,1.0000000391155481,21.0
KIAA1598,1.0000000391155481,20.0
HMGA2,1.0000000391155481,42.0
PURB,1.0000000391155481,23.0
ARF4,1.0000000391155481,26.0
MTA1,1.0000000391155481,59.0
MUC16,1.0000000391155481,24.0
RPS6,1.0000000391155481,52.0
PGRMC1,1.0000000391155481,22.0
SRRT,1.0000000388827175,205.0
TPM2 2,1.0000000384170562,137.0
2-Sep,1.0000000381842256,24.0
DDOST,1.0000000381842256,38.0
MRPL39,1.0000000381842256,44.0
HLA-A 1,1.0000000381842256,38.0
UGGT1,1.0000000377185643,61.0
RCN3,1.000000037602149,106.0
SERPINF1,1.0000000374857336,85.0
TMEM189-UBE2V1,1.000000037252903,25.0
TCEB2,1.000000037252903,15.0
ASS1,1.000000037252903,39.0
KPNA1,1.000000037252903,14.0
UBA1,1.000000037252903,17.0
WDR82,1.000000037252903,14.0
UBE2H,1.000000037252903,10.0
HK2,1.000000037252903,21.0
ITPR2,1.000000037252903,18.0
FDPS,1.000000037252903,23.0
S100A2,1.000000037252903,7.0
AAAS,1.000000037252903,15.0
GDAP1,1.000000037252903,10.0
PARP1,1.000000037252903,26.0
DNM2 1,1.000000037252903,16.0
RAC3,1.000000037252903,26.0
HTATIP2,1.000000037252903,34.0
PSMD14,1.000000037252903,15.0
HNRNPA1L2,1.000000037252903,233.0
RAP2C,1.000000037252903,9.0
FAP,1.000000037252903,44.0
CEP170,1.000000037252903,7.0
COG4,1.000000037252903,25.0
GSTK1,1.000000037252903,63.0
CKMT1A,1.000000037252903,6.0
TM9SF1,1.000000037252903,10.0
ASNS,1.000000037252903,21.0
PYCR2,1.000000037252903,11.0
GNL2,1.000000037252903,31.0
IKBKAP,1.000000037252903,19.0
NADSYN1,1.000000037252903,11.0
OTUB1,1.000000037252903,15.0
CNDP2,1.000000037252903,9.0
EEF1D 1,1.000000037252903,32.0
SLC25A3,1.000000037252903,36.0
ZC3HAV1L,1.000000037252903,18.0
DNAJB6,1.000000037252903,7.0
CRP,1.000000037252903,9.0
TNPO1,1.000000037252903,7.0
KRT3,1.000000037252903,26.0
PSMD4,1.000000037252903,18.0
SIRT5,1.000000037252903,6.0
OGFR,1.000000037252903,7.0
CRKL,1.000000037252903,9.0
ALDH1A1,1.000000037252903,31.0
FLNC,1.0000000370200723,97.0
SEC24D,1.0000000366708264,104.0
KIAA0368,1.0000000363215804,49.0
GALNT2,1.0000000363215804,23.0
PMPCB,1.0000000363215804,48.0
WARS,1.0000000363215804,39.0
TRAP1,1.0000000358559191,85.0
NDUFA9,1.0000000353902578,29.0
ACTR1A,1.0000000353902578,22.0
TMEM214,1.0000000353902578,19.0
DDX27,1.0000000353902578,49.0
TECR,1.0000000353902578,40.0
HPRT1,1.0000000353902578,43.0
DHRS4,1.0000000353902578,21.0
KRI1,1.0000000353902578,26.0
BUD31,1.0000000353902578,42.0
MLEC,1.0000000353902578,22.0
CDC42 2,1.0000000353902578,22.0
DNAJC19,1.0000000353902578,49.0
CORO7-PAM16,1.0000000353902578,14.0
AP2A2,1.0000000353902578,23.0
AGK,1.0000000353902578,29.0
BPGM,1.0000000353902578,36.0
LAMB2,1.0000000353902578,26.0
HSPA13,1.0000000353902578,46.0
HMGB3,1.0000000353902578,15.0
IFI35,1.0000000353902578,44.0
RSU1,1.0000000351574272,54.0
PRELP,1.0000000349245965,58.0
CNN1,1.0000000349245965,68.0
L2HGDH,1.0000000349245965,88.0
TUFM,1.000000034691766,154.0
ARHGEF6,1.000000034691766,50.0
BPNT1,1.0000000344589353,47.0
API5 1,1.0000000344589353,33.0
PPOX,1.0000000344589353,31.0
PON1,1.0000000344589353,35.0
PRMT5,1.0000000344589353,39.0
HIST1H3J,1.0000000344589353,94.0
LTA4H,1.0000000344589353,25.0
TUBB4B,1.0000000344589353,44.0
COL11A1,1.0000000344589353,52.0
COL6A3 1,1.000000033993274,65.0
MCM3,1.000000033993274,69.0
NDUFA5,1.0000000335276127,28.0
MYO5B,1.0000000335276127,14.0
GSPT2,1.0000000335276127,23.0
CLPP,1.0000000335276127,12.0
DOCK1,1.0000000335276127,10.0
SNAP29,1.0000000335276127,16.0
BST1,1.0000000335276127,16.0
EXOC7,1.0000000335276127,12.0
CTSZ,1.0000000335276127,10.0
MEMO1,1.0000000335276127,11.0
SLC2A1,1.0000000335276127,23.0
GCLC,1.0000000335276127,17.0
ESYT1 2,1.0000000335276127,26.0
RPL13A,1.0000000335276127,44.0
WBP2,1.0000000335276127,25.0
KRT20,1.0000000335276127,35.0
SERPINA3,1.0000000335276127,40.0
IARS2,1.0000000335276127,85.0
RAP1GDS1,1.0000000335276127,16.0
ACTN2,1.0000000335276127,19.0
COL6A1,1.0000000335276127,61.0
PPP3CA,1.0000000335276127,12.0
TBCEL,1.0000000335276127,8.0
CCDC91,1.0000000335276127,10.0
NXN,1.0000000335276127,7.0
NIPSNAP1,1.0000000335276127,14.0
CLPTM1L,1.0000000335276127,9.0
ERI3,1.0000000335276127,24.0
NAGA,1.0000000335276127,18.0
TP53BP1,1.0000000335276127,41.0
NP_891556,1.0000000335276127,10.0
PPIL1,1.0000000335276127,13.0
SEC24B,1.0000000335276127,14.0
PKM 2,1.0000000335276127,19.0
TRIM33 1,1.0000000335276127,56.0
ALCAM,1.0000000335276127,10.0
ABCD3,1.0000000335276127,53.0
LUC7L,1.0000000335276127,9.0
APPL1,1.0000000335276127,14.0
APEX1,1.0000000335276127,32.0
KRT17,1.0000000335276127,26.0
CLINT1 2,1.0000000335276127,19.0
TMED9,1.000000033294782,66.0
PLEK,1.0000000330619514,49.0
SUPT16H,1.0000000330619514,61.0
U2AF1 2,1.0000000330619514,98.0
AZGP1,1.0000000330619514,91.0
FIS1,1.0000000330619514,58.0
CTPS1,1.0000000325962901,48.0
AK2,1.0000000325962901,118.0
EIF3D,1.0000000325962901,29.0
PDHB,1.0000000318977982,130.0
DBI,1.0000000316649675,24.0
EHD4,1.0000000316649675,20.0
FHIT,1.0000000316649675,23.0
HNRNPUL2,1.0000000316649675,23.0
IGF2BP3,1.0000000316649675,23.0
ENAH 2,1.0000000316649675,20.0
HSPB1,1.0000000316649675,34.0
CDIPT,1.0000000316649675,13.0
NT5E,1.0000000316649675,19.0
DDX46,1.0000000316649675,18.0
AAK1,1.0000000316649675,17.0
VAC14,1.0000000316649675,23.0
PCBP2 2,1.0000000316649675,20.0
C7orf55-LUC7L2,1.0000000316649675,40.0
CRYL1,1.0000000316649675,14.0
DNAJC8,1.0000000316649675,34.0
ZNF512,1.0000000316649675,34.0
MESDC2,1.0000000316649675,15.0
TMEM43,1.0000000316649675,26.0
LTBP2,1.0000000316649675,54.0
APOC1,1.0000000316649675,22.0
GSN 1,1.0000000316649675,19.0
RTN3 1,1.0000000316649675,29.0
SPAG9,1.0000000316649675,19.0
PLEKHA5,1.0000000316649675,20.0
SMC2,1.000000031432137,114.0
ACTG1,1.000000031432137,153.0
UQCRQ,1.0000000311993062,48.0
OGN,1.0000000311993062,54.0
SPARC,1.0000000309664756,65.0
ATP6V0D1,1.000000030733645,37.0
TMX1,1.000000030733645,27.0
A1BG,1.000000030733645,91.0
SLC25A5,1.000000030733645,45.0
GSTM3,1.000000030733645,47.0
CAPG,1.000000030733645,28.0
MRPL1,1.000000030733645,44.0
MYLK 2,1.0000000305008143,66.0
DOCK2,1.0000000305008143,136.0
MYL6 1,1.0000000305008143,120.0
ILF2,1.0000000302679837,115.0
MKI67,1.0000000302679837,82.0
BLVRB,1.0000000302679837,35.0
NCL,1.0000000302679837,116.0
STX12,1.0000000302679837,38.0
MBD1,1.0000000298023224,7.0
ENSA,1.0000000298023224,8.0
SPR,1.0000000298023224,26.0
PWP1,1.0000000298023224,3.0
GSTM4,1.0000000298023224,10.0
G3BP2,1.0000000298023224,21.0
DTYMK,1.0000000298023224,2.0
DDAH2,1.0000000298023224,27.0
CHL1,1.0000000298023224,2.0
SLC12A7,1.0000000298023224,16.0
GSTZ1,1.0000000298023224,7.0
PDCD6,1.0000000298023224,18.0
DHX29,1.0000000298023224,3.0
GNPDA2,1.0000000298023224,7.0
HMGA1,1.0000000298023224,15.0
PTMA,1.0000000298023224,7.0
RNF214,1.0000000298023224,4.0
ALG1,1.0000000298023224,12.0
PSAT1,1.0000000298023224,8.0
10-Sep,1.0000000298023224,11.0
SRRM1,1.0000000298023224,9.0
ARMC1,1.0000000298023224,4.0
NUTF2,1.0000000298023224,36.0
FKBP2,1.0000000298023224,20.0
TRMT112,1.0000000298023224,18.0
NCALD,1.0000000298023224,6.0
CALB2,1.0000000298023224,4.0
PLCB3,1.0000000298023224,7.0
TRIM22,1.0000000298023224,4.0
VPS28,1.0000000298023224,7.0
BUB3,1.0000000298023224,70.0
ACSS3,1.0000000298023224,2.0
SCRN1,1.0000000298023224,2.0
MPST,1.0000000298023224,14.0
UCHL5 2,1.0000000298023224,12.0
S100A14,1.0000000298023224,29.0
EIF4H,1.0000000298023224,19.0
ATG3,1.0000000298023224,9.0
FOXK1,1.0000000298023224,5.0
SERPINB6,1.0000000298023224,7.0
ARFGAP2,1.0000000298023224,8.0
EXOC4,1.0000000298023224,3.0
ECI2,1.0000000298023224,24.0
GMDS,1.0000000298023224,15.0
PUM2,1.0000000298023224,3.0
DEPTOR,1.0000000298023224,2.0
SYNE2,1.0000000298023224,13.0
CD97,1.0000000298023224,2.0
COQ5,1.0000000298023224,28.0
USP48,1.0000000298023224,21.0
HMCN1,1.0000000298023224,3.0
PPP1CC,1.0000000298023224,8.0
BOP1,1.0000000298023224,26.0
EPM2AIP1,1.0000000298023224,5.0
PRKAR1A,1.0000000298023224,5.0
DDX6,1.0000000298023224,9.0
ABCB7,1.0000000298023224,5.0
ARHGAP1,1.0000000298023224,20.0
SYNPO 1,1.0000000298023224,6.0
PPIL3,1.0000000298023224,2.0
HPCAL1,1.0000000298023224,4.0
CSE1L,1.0000000298023224,76.0
C1QC,1.0000000298023224,37.0
CFHR2,1.0000000298023224,10.0
CPSF2,1.0000000298023224,3.0
CRABP2,1.0000000298023224,5.0
PON2,1.0000000298023224,10.0
TBC1D13,1.0000000298023224,14.0
IRF2BP2 2,1.0000000298023224,6.0
VAPA 2,1.0000000298023224,9.0
QSOX1,1.0000000298023224,8.0
ZNF326,1.0000000298023224,8.0
RBM28,1.000000029336661,49.0
ERGIC3,1.0000000288709998,29.0
USP7,1.0000000288709998,32.0
PRDX4,1.0000000288709998,29.0
NFKB1 2,1.0000000284053385,41.0
ATL3,1.0000000284053385,61.0
CHD4,1.0000000281725079,324.0
EML3,1.0000000279396772,17.0
MRPL9,1.0000000279396772,21.0
AP2B1,1.0000000279396772,22.0
CAP1,1.0000000279396772,19.0
AARS,1.0000000279396772,22.0
NIT2,1.0000000279396772,20.0
SNX2,1.0000000279396772,15.0
ENY2,1.0000000279396772,34.0
ITGB5,1.0000000279396772,21.0
UBAP2,1.0000000279396772,15.0
FKBP10,1.0000000279396772,30.0
NAP1L1,1.0000000279396772,21.0
ANAPC7,1.0000000279396772,21.0
ESYT2,1.0000000279396772,20.0
COG3,1.0000000279396772,21.0
IQGAP3,1.0000000279396772,49.0
HIBADH,1.0000000279396772,43.0
GANAB 2,1.0000000279396772,30.0
HSPA8,1.0000000279396772,16.0
CIRH1A,1.0000000279396772,45.0
KPNA6,1.0000000279396772,21.0
MYO1B 2,1.0000000279396772,27.0
CDC37,1.0000000279396772,28.0
STT3A,1.000000027474016,36.0
TGFBI,1.000000027474016,39.0
UBR7,1.0000000270083547,26.0
RPL6,1.0000000270083547,49.0
G6PD,1.0000000270083547,20.0
IFI16 1,1.0000000270083547,43.0
7-Sep 2,1.0000000270083547,23.0
MYH11 2,1.0000000270083547,90.0
AEBP1,1.0000000270083547,96.0
RPL23A,1.0000000270083547,47.0
RPS12,1.0000000265426934,52.0
DRG1,1.000000026077032,15.0
UBAP2L 2,1.000000026077032,25.0
SLC16A1,1.000000026077032,9.0
MPI,1.000000026077032,37.0
MYOF,1.000000026077032,44.0
IGFBP2,1.000000026077032,18.0
TAP2,1.000000026077032,90.0
LSM12,1.000000026077032,13.0
ATP2A3,1.000000026077032,11.0
PSMC3,1.000000026077032,27.0
LAMP1,1.000000026077032,17.0
STX18,1.000000026077032,12.0
AGRN,1.000000026077032,15.0
PLBD2,1.000000026077032,19.0
TPMT,1.000000026077032,12.0
TAPBP,1.000000026077032,80.0
KRT2,1.000000026077032,21.0
LRG1,1.000000026077032,12.0
U2AF1L4,1.000000026077032,35.0
LZTFL1,1.000000026077032,24.0
WDR70,1.000000026077032,18.0
RAD23A,1.000000026077032,30.0
ERBB2IP,1.000000026077032,15.0
SPG20,1.000000026077032,9.0
RPL26,1.000000026077032,42.0
TRIP12,1.000000026077032,6.0
PAK1,1.000000026077032,12.0
DSC2,1.000000026077032,44.0
SARS,1.000000026077032,12.0
ATP6V1G1,1.000000026077032,19.0
SND1,1.000000026077032,27.0
RAB3GAP1,1.000000026077032,13.0
RANBP3 2,1.000000026077032,9.0
ASCC3,1.000000026077032,10.0
GTPBP1,1.000000026077032,10.0
LMAN2L,1.000000026077032,17.0
ARL3,1.000000026077032,13.0
S100A8,1.000000026077032,21.0
RTCA,1.000000026077032,18.0
SLC25A24,1.000000026077032,23.0
